u,v,key,osmid,lit,lanes,surface,name,ref,highway,maxspeed,oneway,reversed,length,grade,grade_abs,elevation_change,junction,sidewalk,access,bridge,service,incline,tactile_paving,smoothness,tunnel,width,est_width,footway
31075602,31075598,0,8153388,no,,asphalt,Maasdijk,,unclassified,,False,True,74.05096873678546,-0.094529485831327,0.094529485831327,-7.0,,,,,,,,,,,,
31075624,31129508,0,38882775,yes,2,asphalt,Brugstraat,N77,tertiary,50,False,True,13.196635582042177,0.0,0.0,0.0,,both,,,,,,,,,,
31075624,11349642756,0,4832183,,,asphalt,Kerkhofstraat,,residential,,False,True,375.67324879757314,0.0026618876994854578,0.0026618876994854578,1.0,,,,,,,,,,,,
31075624,30976106,0,"[4832213, 4832214, 38882775]",yes,2,asphalt,Brugstraat,N77,tertiary,50,False,False,76.46395703643991,0.0,0.0,0.0,,both,,yes,,,,,,,,
31087057,12293441754,0,509492316,,2,asphalt,Maaseikersteenweg,N766,secondary,30,False,False,4.75153224229351,0.0,0.0,0.0,,,,,,,,,,,,
31087057,12293441748,0,4833816,,,,Maaseikersteenweg,,residential,,False,False,52.496748112224935,-0.019048798943931723,0.019048798943931723,-1.0,,,,,,,,,,,,
31087057,30976866,0,"[509492316, 266245126]",,2,asphalt,Maaseikersteenweg,N766,secondary,"['30', '50']",False,True,143.08110169875044,0.0,0.0,0.0,,,,,,,,,,,,
31087059,2718128675,0,4833816,,,,Maaseikersteenweg,,residential,,False,False,11.20503049649708,0.0,0.0,0.0,,,,,,,,,,,,
31087059,3785155208,0,4833816,,,,Maaseikersteenweg,,residential,,False,True,4.94088679897051,0.0,0.0,0.0,,,,,,,,,,,,
31087059,3785155220,0,375126568,,,,,,service,,False,False,40.0543947200117,0.0,0.0,0.0,,,,,parking_aisle,,,,,,,
31129506,31129508,0,4839076,,,sett,Brugstraat,,residential,,False,False,28.409729658398437,0.0,0.0,0.0,,,,,,,,,,,,
31129506,2718128666,0,4839076,,,sett,Brugstraat,,residential,,False,True,17.875450581758216,0.055942645777024146,0.055942645777024146,1.0,,,,,,,,,,,,
31129508,31075624,0,38882775,yes,2,asphalt,Brugstraat,N77,tertiary,50,False,False,13.196635582042177,0.0,0.0,0.0,,both,,,,,,,,,,
31129508,30976105,0,38882775,yes,2,asphalt,Brugstraat,N77,tertiary,50,False,True,9.286706021923402,0.0,0.0,0.0,,both,,,,,,,,,,
31129508,31129506,0,4839076,,,sett,Brugstraat,,residential,,False,True,28.409729658398437,0.0,0.0,0.0,,,,,,,,,,,,
31129518,30976106,0,38882777,,2,asphalt,Brugstraat,N77,tertiary,50,False,True,14.987096909213545,0.0,0.0,0.0,,both,,,,,,,,,,
31129518,31129520,0,4839082,,,asphalt,Kanaaldijk,,residential,,False,False,48.117890810476176,0.0,0.0,0.0,,,,,,,,,,,,
31129518,30985235,0,38882777,,2,asphalt,Brugstraat,N77,tertiary,50,False,False,75.83321607586625,0.07912100146191066,0.07912100146191066,6.0,,both,,,,,,,,,,
