city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges
Maastricht,11663659256,2125205072,1543.9492471451956,1544.9596452221383,1.0103980769426926,0.06544244111721588,1778.6011312533783,1726.860967892544,2.9090369083692753,84.84848484848484,False,33,33
Maastricht,41961583,2420265658,2834.6872581097937,3036.335779180282,201.6485210704882,7.113607347462734,4759.146698837575,4086.9442944989974,14.124431266276446,30.555555555555557,False,36,53
Maastricht,2805942362,41962770,7675.715547776614,8029.460939004214,353.7453912276005,4.608630804851388,12193.583045009615,8850.717777965998,27.414954691367182,26.89075630252101,False,119,201
Maastricht,12535880297,8537070816,10021.57377131433,10299.177445456678,277.6036741423486,2.770060675868685,13011.860919514023,12411.136419002854,4.616745477276477,60.95238095238095,False,128,105
Maastricht,8904125464,42001682,7236.682182780963,7302.634297825197,65.95211504423423,0.9113584565197762,8013.224794031072,7833.463307372394,2.243310168867082,66.2251655629139,False,151,161
Maastricht,4743648896,2502864753,5669.396133040977,5910.400718827831,241.00458578685448,4.250974532936427,7719.021686036933,6594.423719831979,14.56917744173796,25.0,False,120,136
Maastricht,41986193,5331434977,588.0066757637662,588.0066757637662,0.0,0.0,620.3069162241596,620.3069162241596,0.0,100.0,False,13,13
Maastricht,6343654937,41947392,3674.1199488979146,3947.836076009032,273.7161271111172,7.449841891885452,4808.961846321249,4361.714243582319,9.300294263741455,18.9873417721519,False,79,83
Maastricht,4736654698,11431774241,6250.280535443812,6372.639427562277,122.35889211846461,1.9576544032639376,7324.679186346218,6935.7677222646635,5.309604068482835,56.25,False,154,144
Maastricht,41960892,4642401200,588.9953223470902,588.9953223470902,0.0,0.0,778.8197107641128,778.8197107641128,0.0,100.0,False,18,18
Maastricht,9762629876,5964563988,4456.290105756917,4532.761456900038,76.47135114312096,1.7160317063812887,5331.767573014332,5064.805857117698,5.0070021290464135,63.888888888888886,False,108,110
